Initialization Time: 3528.74
Query, response, time
250:2107500 3002555 (218U29U2U8)+ 1+, 0, 5.386e-05
251:639349 2813605 (4U1U6U110U9U117U3U193)+ 1+, 1, 0.00326086
252:3442570 2283529 ((77)+).((25)+).((2)+).((5)+) 1+, 0, 2.086e-05
253:718881 2419469 ((230)+).((21)+).((1)+).((3)+).((89)+).((1)+).((13)+).((1)+) 1+, 0, 0.00026586
254:2349766 3226874 ((73)+).((1)+) 1+, 0, 0.00012386
255:1578575 2717505 ((2)+).((115)+) 1+, 0, 0.00033486
256:1626525 2622403 (3U1U12U2U25U6)+ 1+, 0, 0.00040286
257:689623 1810608 ((1)+).((10)+).((20)+).((3)+).((12)+).((1)+).((30)+).((1)+) 1+, 0, 0.00013386
258:2502885 1274817 (1U2)+ 1+, 1, 0.00345586
259:1003329 1288500 ((2)+).((20)+).((28)+).((102)+).((176)+).((16)+).((1)+).((13)+) 1+, 0, 0.00015686
260:2023508 3332462 (1.33)+ 1+, 0, 0.00035886
261:3064160 3330952 (209.9.1.2)+ 1+, 0, 2.586e-05
262:1717898 598942 (3.128.1.57.4.1.2.1)+ 1+, 0, 0.0375199
263:2904121 1249542 (3.4)+ 1+, 0, 0.00046286
264:260001 3557791 (1.9.160.2.1.3)+ 1+, 0, 0.00017786
265:3326181 336822 (1.11.1.16.59.14)+ 1+, 0, 0.00012686
266:2512818 1428005 ((107)+).((1)+).((3)+).((9)+) 1+, 0, 0.00038486
267:1456080 220473 (133.1)+ 1+, 0, 4.686e-05
268:51412 1584591 (1.3.18.143.115.2.38.1)+ 1+, 0, 0.00164886
269:1121618 2278132 ((1)+).((3)+).((1)+).((2)+).((4)+).((7)+) 1+, 0, 0.116089
270:3516349 3021091 (1U13U15U14)+ 1+, 1, 0.00657586
271:2197601 3177549 (123.30.2.1)+ 1+, 0, 0.00010486
272:2101596 560012 (1.93.5.234.5.1.61.239)+ 1+, 0, 0.00011186
273:335385 1356006 ((5)+).((1)+).((65)+).((1)+) 1+, 0, 2.786e-05
274:296896 1800667 ((4)+).((10)+).((33)+).((10)+).((103)+).((2)+) 1+, 0, 1.386e-05
275:568460 1442456 (36.1)+ 1+, 0, 8.286e-05
276:2503692 2686170 (1U4U2U6U127U20)+ 1+, 0, 0.00029686
277:449952 3273669 ((65)+).((2)+).((40)+).((1)+).((2)+).((1)+) 1+, 0, 0.00017586
278:3255763 2772192 ((87)+).((1)+).((4)+).((12)+).((4)+).((56)+) 1+, 0, 0.00101886
279:2694353 778972 (9U2U1U227)+ 1+, 1, 0.00277886
280:2549713 3654848 ((1)+).((5)+) 1+, 0, 0.00119386
281:432157 1173209 ((1)+).((2)+).((3)+).((34)+).((3)+).((1)+).((2)+).((5)+) 1+, 0, 0.00115686
282:1825568 981730 (3.12.25.3.78.1)+ 1+, 0, 0.00085786
283:3046742 1529570 ((43)+).((7)+) 1+, 0, 3.786e-05
284:522198 2306909 (1.184.1.24)+ 1+, 0, 0.00015286
285:2520179 3377441 (2.30.78.20.3.1.7.19)+ 1+, 0, 2.286e-05
286:104870 2615668 (1.2.3.4.2.86.3.1)+ 1+, 0, 0.00339286
287:1598018 258769 ((3)+).((22)+).((4)+).((1)+).((73)+).((1)+).((36)+).((9)+) 1+, 0, 0.0376919
288:865370 1162194 ((7)+).((8)+).((1)+).((2)+).((4)+).((94)+).((13)+).((143)+) 1+, 0, 4.686e-05
289:3127548 1701876 (1.7)+ 1+, 0, 0.00036686
290:1229919 1738170 (1.19)+ 1+, 0, 0.00046086
291:14194 569029 (2.9.23.1.2.9)+ 1+, 0, 0.00045486
292:1621720 3515129 ((97)+).((2)+).((51)+).((61)+).((14)+).((5)+) 1+, 0, 8.786e-05
293:336836 3624390 ((4)+).((2)+) 1+, 0, 1.486e-05
